Variety,D_conv,true_rank,PLSR_Rank,SVR_Rank,Ridge_Rank,RF_Rank,CatBoost_Rank,TabPFN_Rank,Category
1252,0.5746672551712988,1,1,2,1,1,1,1,Tolerant
1257,0.5317110600542118,2,3,3,3,2,2,2,Tolerant
1099,0.5283258341525979,3,2,1,4,3,3,3,Tolerant
1228,0.4714456240612147,4,5,4,5,4,4,4,Tolerant
1214,0.4224687599365873,5,4,8,2,5,5,5,Moderate
1274,0.4106885222095553,6,7,6,7,7,7,6,Moderate
1210,0.3561671112879607,7,6,5,6,6,6,7,Moderate
73,0.3276960420194899,8,8,7,8,8,8,8,Moderate
12,0.2649762862421151,9,9,9,10,10,10,9,Sensitive
1219,0.2370211071473494,10,11,10,11,12,11,10,Sensitive
1110,0.22321650706773,11,10,11,9,9,9,11,Sensitive
1218,0.2061603258263428,12,12,13,13,11,12,12,Sensitive
1235,0.1730928483356376,13,13,12,12,13,13,13,Sensitive
